,A1,A2,D1,B1,B2,C1,C2
127,3.34,-0.19,1.0,1.87,-0.46,0.05,1.41
128,2.62,-1.1,1.0,2.58,1.3,4.28,3.88
129,1.24,-1.96,1.0,-2.75,2.42,-0.95,-0.33
130,3.58,0.54,1.0,2.82,1.96,5.73,4.78
131,3.02,-1.17,1.0,0.91,2.41,3.05,3.31
132,0.56,2.21,1.0,2.54,2.58,5.84,5.12
133,3.0,-0.02,1.0,3.64,-0.04,3.06,3.6
134,2.25,-0.04,1.0,3.5,0.02,1.34,3.52
135,2.75,-0.52,1.0,2.82,-1.49,3.16,1.34
136,1.45,1.68,1.0,3.08,1.7,5.23,4.78
137,0.64,-0.85,1.0,0.51,0.03,1.42,0.54
138,2.64,0.44,1.0,0.25,-1.18,-0.42,-0.93
139,2.52,0.79,1.0,2.85,-1.29,0.4,1.56
140,2.33,0.76,1.0,1.91,2.0,3.65,3.91
141,2.13,-0.1,1.0,1.27,0.47,2.4,1.74
142,1.3,-0.39,1.0,2.35,-0.05,3.64,2.3
143,1.49,0.17,1.0,2.27,-0.17,2.62,2.1
144,0.74,-0.93,1.0,-0.4,0.09,0.38,-0.31
145,3.56,1.19,0.0,3.9,-2.85,-0.34,1.05
146,2.94,1.01,1.0,3.03,0.53,3.47,3.57
147,3.67,-0.03,1.0,3.88,-0.19,1.9,3.69
148,0.56,1.01,1.0,2.06,-0.41,-0.82,1.65
149,2.39,-0.99,0.0,1.98,2.26,3.83,4.24
150,4.35,1.43,1.0,6.25,14.77,20.1,21.02
151,2.07,0.25,1.0,2.82,0.33,1.52,3.15
152,1.09,0.72,1.0,0.64,-0.44,0.6,0.2
153,2.63,0.8,1.0,2.81,-2.68,0.45,0.14
154,2.58,-0.75,1.0,1.47,-2.04,1.68,-0.56
155,1.49,0.18,1.0,3.46,-0.11,4.42,3.35
156,2.06,-0.57,1.0,2.35,1.17,1.8,3.52
157,1.69,-0.33,1.0,3.07,0.0,4.16,3.07
158,3.44,-1.54,1.0,2.82,-12.3,-7.91,-9.47
159,2.15,0.24,1.0,2.26,-0.18,3.03,2.08
160,0.65,-0.1,1.0,-0.02,-0.01,1.45,-0.03
161,1.52,0.06,1.0,1.96,0.09,2.15,2.05
162,2.02,-0.82,1.0,-0.14,-0.46,-1.21,-0.6
163,2.5,-0.27,1.0,0.28,-0.04,0.33,0.24
164,0.63,0.61,1.0,1.1,-0.42,-0.26,0.68
165,3.12,1.37,1.0,4.09,-3.02,0.34,1.07
166,1.81,-1.7,0.0,0.72,1.79,2.15,2.5
167,1.82,-1.37,1.0,-0.65,0.47,-1.13,-0.18
168,2.07,-0.38,1.0,0.94,1.44,2.34,2.38
169,3.65,-0.67,1.0,4.22,1.9,6.22,6.11
170,2.65,-0.64,1.0,2.22,-0.33,1.85,1.89
171,2.23,-1.09,0.0,1.18,-4.96,-4.06,-3.78
172,1.11,0.69,1.0,1.05,1.26,2.78,2.31
173,4.16,0.11,1.0,6.11,-0.01,6.23,6.11
174,0.04,2.16,1.0,1.48,-0.05,1.23,1.43
175,2.58,1.1,0.0,4.01,-0.23,3.19,3.78
176,0.64,-0.62,1.0,2.5,-0.11,1.09,2.39
177,3.01,0.23,0.0,3.84,0.31,5.37,4.15
178,1.39,0.63,1.0,3.06,-0.4,1.99,2.66
179,2.31,-0.5,1.0,2.89,-1.07,2.05,1.82
180,2.05,-0.17,0.0,0.01,-0.09,0.32,-0.08
181,1.69,-2.31,1.0,-1.19,7.45,7.65,6.25
182,2.23,1.08,0.0,1.97,2.67,5.49,4.63
183,1.23,-1.14,1.0,-0.64,-1.14,-0.69,-1.78
184,2.55,-0.38,1.0,1.69,0.53,2.56,2.22
185,0.83,0.26,0.0,0.84,0.15,0.29,0.99
186,1.7,-1.31,1.0,0.25,1.18,-0.83,1.42
187,1.83,0.42,1.0,2.2,0.11,1.49,2.31
188,0.92,-0.93,1.0,1.8,1.21,2.95,3.0
189,2.06,-1.3,1.0,1.33,0.55,1.83,1.88
190,3.95,0.35,1.0,3.7,1.48,4.89,5.18
191,1.62,-1.19,0.0,-0.31,4.54,3.99,4.23
192,2.23,2.22,1.0,4.0,2.95,6.12,6.95
193,2.53,-1.95,0.0,1.88,6.62,9.03,8.5
194,2.57,0.63,0.0,2.22,1.62,2.68,3.84
195,0.75,0.5,1.0,0.05,0.23,0.49,0.28
196,1.36,2.49,1.0,4.2,-6.45,-0.85,-2.25
197,1.81,1.02,0.0,2.94,1.83,5.65,4.77
198,1.75,-0.57,1.0,2.0,-2.71,0.03,-0.71
199,0.98,1.88,1.0,3.17,-1.31,1.23,1.86
200,1.62,-0.43,1.0,1.36,-0.32,-0.81,1.04
201,0.79,-0.38,1.0,0.65,-0.57,1.38,0.08
202,1.57,-0.84,1.0,2.26,0.28,3.48,2.53
203,2.46,0.19,0.0,0.68,0.13,1.13,0.82
204,3.71,0.39,1.0,3.59,-1.4,3.9,2.19
205,-0.17,2.13,1.0,1.18,0.03,1.68,1.21
206,2.28,1.03,1.0,0.37,1.5,1.25,1.87
207,2.59,0.28,1.0,3.06,0.37,2.22,3.43
208,2.56,-1.96,1.0,0.07,-4.17,-5.16,-4.1
209,4.27,0.25,1.0,4.57,0.74,7.19,5.31
210,2.6,-1.16,0.0,2.87,-1.82,1.26,1.06
211,1.84,-0.54,1.0,1.22,-0.4,-0.15,0.82
212,1.27,0.37,0.0,3.58,0.05,3.52,3.64
213,1.94,-0.29,1.0,0.95,-0.36,-0.53,0.6
214,3.85,-0.38,1.0,3.6,0.62,4.8,4.22
215,1.98,-0.57,1.0,1.06,1.13,3.39,2.2
216,0.97,-0.84,1.0,-0.81,-0.33,-1.81,-1.14
217,2.16,2.07,1.0,5.03,2.91,8.55,7.94
218,0.82,-0.2,1.0,0.39,-0.03,1.33,0.36
219,3.02,-1.03,1.0,1.13,1.86,1.56,2.99
220,3.46,0.51,0.0,6.09,-1.15,4.95,4.93
221,1.68,-0.12,1.0,1.39,-0.13,1.58,1.26
222,3.14,-0.93,1.0,2.43,1.65,4.06,4.09
223,2.84,0.64,1.0,3.51,-2.27,0.86,1.24
224,3.43,-0.65,1.0,2.34,-3.17,-2.52,-0.83
225,2.58,1.08,1.0,4.3,-1.97,3.3,2.34
226,2.67,-0.63,1.0,2.85,-1.72,2.13,1.13
227,-0.14,-0.08,1.0,-1.8,-0.01,-1.38,-1.81
228,3.68,0.13,0.0,5.61,0.23,5.89,5.84
229,2.5,-1.34,1.0,0.89,-0.0,2.08,0.88
230,1.76,-0.85,1.0,2.02,0.05,4.0,2.07
231,2.08,-1.65,0.0,0.28,-0.28,-2.13,0.0
232,1.85,0.59,1.0,2.76,-0.85,2.27,1.91
233,3.95,-0.12,1.0,3.79,-0.35,2.47,3.44
234,1.77,1.8,1.0,3.74,0.25,5.18,3.99
235,2.84,-2.02,1.0,-0.91,-1.53,-1.34,-2.44
236,2.53,0.63,1.0,2.45,-1.25,1.35,1.2
237,1.65,1.66,1.0,3.7,-2.53,1.65,1.17
238,1.38,-0.98,1.0,-0.62,-1.57,-3.03,-2.19
239,1.63,-1.39,1.0,1.43,4.45,7.11,5.88
240,1.97,-0.77,0.0,1.92,-0.69,1.73,1.23
241,2.99,0.06,1.0,3.23,0.07,4.94,3.29
242,2.39,-0.62,1.0,1.07,-1.21,1.63,-0.15
243,2.99,1.29,1.0,5.84,9.24,14.09,15.08
244,2.46,-1.43,1.0,1.49,3.76,6.26,5.24
245,1.75,-0.47,1.0,-0.97,0.98,-0.88,0.01
246,3.44,1.14,1.0,6.49,-5.6,-0.46,0.89
247,2.55,0.26,1.0,4.5,-0.06,4.93,4.43
248,2.88,0.72,1.0,5.42,-0.71,6.18,4.71
249,1.69,0.26,1.0,1.59,-0.64,0.73,0.96
250,1.56,0.69,1.0,2.64,-0.34,2.58,2.3
251,4.55,0.89,1.0,4.81,1.52,5.83,6.33
252,2.4,0.03,1.0,2.05,0.23,1.48,2.28
253,2.25,-0.11,1.0,1.56,0.12,0.86,1.68
254,0.95,-0.57,1.0,0.93,0.01,1.33,0.94
255,2.6,-1.4,1.0,1.31,-7.29,-5.23,-5.98
256,3.85,0.07,1.0,4.74,-0.19,2.6,4.55
257,4.75,0.23,1.0,3.44,1.31,4.58,4.75
258,0.93,-1.4,1.0,-2.03,1.28,0.55,-0.75
259,1.85,0.12,1.0,1.72,0.12,-0.03,1.84
260,2.83,-0.53,1.0,4.08,0.28,5.77,4.36
261,2.5,-1.39,1.0,1.12,-0.44,-0.35,0.68
262,2.33,-1.19,1.0,0.28,5.49,6.17,5.77
263,2.43,1.74,1.0,5.35,-2.53,3.24,2.83
264,2.28,-0.81,0.0,0.78,4.46,6.33,5.24
265,1.58,-0.63,0.0,2.62,-0.5,0.62,2.12
266,2.15,-0.56,0.0,1.51,-1.98,0.73,-0.47
267,1.6,-0.67,1.0,2.87,0.23,2.19,3.1
268,3.83,1.79,1.0,3.6,-15.74,-11.33,-12.14
269,2.1,-0.01,0.0,1.38,0.01,0.77,1.39
270,2.32,-0.95,0.0,0.92,-2.87,-1.94,-1.94
271,1.42,-1.37,0.0,2.04,-1.0,0.85,1.05
272,1.4,-0.89,1.0,-0.65,-1.83,-1.87,-2.48
273,5.23,0.55,1.0,5.98,-4.32,1.13,1.66
274,3.62,0.77,1.0,5.63,-2.18,2.55,3.45
275,2.07,0.26,0.0,1.54,-0.28,0.99,1.27
276,2.64,0.01,1.0,0.05,0.01,0.31,0.06
277,0.58,0.57,1.0,1.01,-0.74,1.11,0.27
278,1.44,-1.31,1.0,-0.4,0.09,-0.35,-0.31
279,0.72,-0.56,1.0,-0.94,0.32,-0.51,-0.62
280,2.1,-0.28,1.0,5.1,0.22,4.34,5.32
281,1.93,0.17,1.0,0.1,-0.16,1.61,-0.06
282,2.53,1.45,1.0,3.34,-6.19,-4.05,-2.85
283,1.68,-1.51,1.0,-0.46,-1.43,-1.32,-1.89
284,1.42,-0.06,1.0,2.71,-0.15,2.07,2.57
285,1.15,0.27,1.0,0.68,-0.01,1.11,0.67
286,3.37,0.01,1.0,3.67,0.0,5.27,3.68
287,1.73,0.15,1.0,1.51,-0.04,1.0,1.47
288,2.39,-0.44,1.0,2.59,1.01,3.73,3.59
289,1.01,0.38,1.0,0.87,-0.4,-0.25,0.47
290,1.86,-0.73,1.0,1.64,-0.03,1.75,1.61
291,2.58,-0.43,1.0,2.62,0.96,3.19,3.58
292,3.26,-1.03,1.0,2.79,8.52,10.98,11.31
293,2.75,1.37,0.0,3.08,1.98,5.66,5.06
294,2.61,-1.37,1.0,0.97,-1.66,-1.37,-0.69
295,3.28,0.2,1.0,3.64,1.06,4.41,4.7
296,2.01,-0.75,1.0,2.97,-1.62,1.35,1.35
297,1.03,-0.75,0.0,0.01,0.17,1.62,0.18
298,2.39,-1.32,0.0,1.6,0.15,3.17,1.75
299,1.75,-0.92,0.0,2.49,-1.54,0.67,0.94
300,1.79,-0.33,1.0,1.65,0.09,0.07,1.75
301,3.03,0.79,1.0,3.21,3.97,7.88,7.17
302,2.54,0.01,1.0,-0.1,0.01,-0.64,-0.09
303,2.22,0.11,0.0,2.24,0.15,2.91,2.4
304,1.82,0.51,1.0,1.89,0.21,1.51,2.1
305,1.21,-0.44,1.0,-0.11,0.03,0.12,-0.08
306,3.54,2.27,1.0,4.42,-11.2,-8.48,-6.78
307,3.25,-0.02,1.0,3.17,-0.04,2.59,3.13
308,2.84,1.27,1.0,4.24,-0.32,2.44,3.92
309,2.39,0.72,1.0,2.64,-0.02,3.44,2.62
310,1.06,0.12,1.0,2.08,-0.1,2.07,1.98
311,2.57,0.59,0.0,1.23,-0.7,1.26,0.53
312,2.15,-0.22,0.0,2.26,0.42,3.17,2.68
313,3.46,-2.28,1.0,1.81,5.34,9.84,7.15
314,2.2,-0.5,1.0,0.9,-2.39,0.04,-1.49
315,1.03,-1.48,1.0,-0.55,1.69,0.21,1.13
316,0.94,1.54,1.0,2.08,-0.16,1.98,1.92
317,4.75,-0.13,0.0,5.8,-1.3,3.92,4.5
318,0.39,-1.04,1.0,-2.24,0.3,-2.6,-1.94
319,2.34,0.52,1.0,2.66,-0.1,1.89,2.56
320,2.3,-0.61,0.0,2.36,0.98,2.76,3.34
321,1.51,0.22,1.0,2.54,-0.23,3.38,2.3
322,2.1,1.04,1.0,3.3,-0.41,2.86,2.89
323,2.12,0.94,0.0,2.65,0.13,1.95,2.78
324,2.4,0.01,1.0,2.05,0.06,2.52,2.1
325,0.86,-0.89,1.0,0.23,-0.6,-0.47,-0.37
326,1.48,-1.23,0.0,2.46,-0.18,2.72,2.28
327,3.14,-0.8,1.0,0.88,-1.43,-0.02,-0.55
328,0.89,-0.83,1.0,0.36,0.08,-3.01,0.45
329,1.88,1.22,1.0,2.04,0.08,2.56,2.12
330,3.72,0.04,1.0,3.09,0.04,3.57,3.13
331,1.2,-1.71,1.0,-0.88,-1.27,-3.23,-2.15
332,2.49,-0.01,1.0,3.32,0.01,5.24,3.33
333,2.57,0.53,1.0,1.92,0.93,3.09,2.85
334,1.81,1.68,1.0,2.27,-5.97,-3.52,-3.7
335,1.93,0.43,1.0,1.69,0.95,1.59,2.64
336,1.89,-1.78,0.0,-0.28,1.8,2.6,1.51
337,3.42,1.1,0.0,5.16,-7.37,-0.89,-2.21
338,3.75,-1.03,1.0,0.94,2.35,2.98,3.29
339,3.66,-1.29,0.0,2.21,4.22,6.24,6.43
340,3.5,-0.52,1.0,3.25,0.29,2.19,3.54
341,2.09,-0.69,0.0,1.57,-1.68,2.14,-0.11
342,3.18,-0.6,1.0,3.56,-3.51,-1.09,0.05
343,2.07,-0.1,1.0,0.91,-0.5,-0.79,0.41
344,2.46,-0.37,1.0,2.59,-1.47,2.31,1.12
345,2.22,1.01,0.0,3.68,-0.95,1.65,2.73
346,0.79,-0.16,1.0,0.35,-0.04,0.73,0.31
347,-1.12,-1.15,1.0,-2.8,2.49,-0.97,-0.31
348,0.79,-1.18,1.0,-0.25,0.38,1.73,0.12
349,3.8,-0.71,1.0,2.89,-0.44,2.05,2.45
350,1.97,0.13,0.0,1.6,-0.04,1.74,1.56
351,2.32,-1.52,1.0,-0.53,-0.54,-0.76,-1.07
352,1.61,-0.33,1.0,1.72,0.0,1.12,1.72
353,3.55,2.48,1.0,6.53,-2.85,3.35,3.68
354,2.02,-0.28,1.0,2.53,0.55,0.88,3.08
355,0.85,0.0,1.0,1.38,0.0,1.75,1.38
356,2.37,1.37,0.0,2.77,0.63,3.0,3.4
357,2.45,1.15,1.0,2.92,-3.73,-0.38,-0.8
358,0.73,1.1,0.0,0.32,-0.2,2.43,0.11
359,-0.12,-0.55,0.0,-2.04,-0.07,-2.84,-2.1
360,0.59,0.92,1.0,0.17,0.04,-0.53,0.21
361,1.37,-1.11,1.0,-0.51,-3.78,-5.38,-4.29
362,2.41,-1.3,1.0,0.64,4.29,4.61,4.93
363,2.15,0.22,1.0,2.11,-0.48,1.33,1.63
364,2.24,-0.54,1.0,2.91,-3.06,2.03,-0.14
365,0.46,-0.05,1.0,-1.61,0.06,-4.13,-1.55
366,1.14,-1.07,1.0,0.02,-1.43,-1.93,-1.41
367,1.45,2.2,1.0,1.08,-0.04,1.1,1.03
368,2.07,1.87,1.0,3.51,-0.75,3.45,2.76
369,2.65,1.27,1.0,3.16,-2.45,2.04,0.7
370,2.19,1.09,1.0,3.75,2.37,4.77,6.12
371,1.93,0.22,0.0,1.9,0.3,1.48,2.21
372,1.56,0.88,1.0,1.32,1.25,3.37,2.57
373,1.47,-1.38,1.0,1.09,-2.73,-1.15,-1.64
374,3.82,0.32,0.0,3.65,0.61,4.14,4.26
375,0.67,-0.96,1.0,-0.03,0.0,1.18,-0.03
376,1.83,-0.56,1.0,1.49,0.01,0.8,1.5
377,1.41,0.45,1.0,2.5,0.72,3.54,3.21
378,2.01,-0.25,1.0,1.5,-0.49,0.79,1.01
379,2.34,0.47,1.0,4.64,0.5,4.65,5.15
380,2.72,0.56,1.0,2.78,-0.44,1.7,2.34
381,2.88,-0.94,1.0,1.33,-1.26,-0.18,0.07
382,2.95,0.86,1.0,4.69,1.89,6.94,6.58
383,1.77,-0.38,1.0,1.3,-0.22,1.95,1.08
384,3.33,0.04,1.0,3.9,-0.02,4.33,3.88
385,0.68,-1.46,1.0,-1.37,0.44,0.25,-0.92
386,1.62,-1.28,0.0,-0.18,1.72,3.04,1.54
387,1.85,-0.88,1.0,0.12,1.43,0.89,1.55
388,2.21,-1.01,0.0,1.28,2.06,2.41,3.34
389,2.22,0.36,0.0,1.77,-0.13,2.26,1.64
390,1.15,-0.58,0.0,0.11,-0.98,-1.75,-0.87
391,1.48,1.34,0.0,2.41,1.75,3.69,4.16
392,1.65,-1.46,1.0,-1.44,2.31,0.96,0.87
393,3.73,0.59,1.0,5.56,3.3,9.59,8.87
394,1.9,-0.16,1.0,2.62,0.21,1.91,2.83
395,0.43,-0.56,1.0,-0.18,0.07,-0.45,-0.11
396,0.82,1.03,1.0,1.87,0.22,1.56,2.09
397,1.01,0.51,0.0,2.72,-0.67,2.45,2.05
398,3.23,-1.3,1.0,2.64,9.73,12.59,12.37
399,2.99,-0.67,1.0,3.1,3.68,8.55,6.79
400,2.22,0.21,1.0,2.49,-0.49,-0.38,2.0
401,0.71,-0.6,1.0,-0.73,0.28,-1.17,-0.45
402,1.59,1.21,1.0,2.72,-1.31,1.77,1.4
403,1.92,1.21,1.0,3.22,-1.84,0.23,1.39
404,1.17,-0.03,1.0,1.39,0.0,1.55,1.39
405,2.32,-0.43,1.0,1.89,0.58,3.93,2.47
406,1.82,1.48,1.0,2.82,3.45,7.32,6.27
407,1.69,1.5,1.0,4.41,-2.44,0.31,1.98
408,1.09,-0.25,0.0,-0.86,-0.37,-1.6,-1.22
409,2.93,-0.75,0.0,3.92,-0.18,2.67,3.74
410,3.67,0.3,1.0,3.88,-1.2,1.92,2.67
411,3.05,0.4,0.0,2.97,1.38,5.77,4.34
412,-0.96,0.52,1.0,-1.73,-0.29,-3.45,-2.02
413,1.8,0.48,1.0,2.26,0.27,1.38,2.53
414,2.81,1.8,0.0,4.66,7.91,13.09,12.57
415,2.95,-0.27,1.0,2.98,-0.2,2.05,2.78
416,2.6,0.77,1.0,2.23,6.72,8.74,8.96
417,3.36,-0.29,1.0,3.05,-1.37,1.6,1.68
418,-0.81,-0.13,1.0,-0.0,-0.06,-0.63,-0.07
419,1.99,-1.88,1.0,-0.4,-0.5,-0.14,-0.9
420,1.29,1.52,1.0,2.4,0.36,1.68,2.76
421,1.2,0.4,1.0,0.91,-0.36,1.93,0.55
422,1.77,-0.88,1.0,0.21,1.27,0.82,1.48
423,2.82,0.61,1.0,2.48,-1.23,2.17,1.26
424,1.44,0.12,1.0,2.37,-0.06,2.85,2.31
425,2.58,0.06,1.0,3.0,0.12,3.54,3.12
426,2.19,-0.65,1.0,1.37,-2.31,-1.63,-0.94
427,2.54,-1.07,1.0,0.4,1.97,0.92,2.37
428,1.17,-0.08,1.0,1.55,-0.02,2.67,1.52
429,2.47,1.33,1.0,3.84,0.26,5.5,4.1
430,4.22,1.04,1.0,5.89,-2.4,3.39,3.49
431,2.34,-0.27,0.0,2.62,-0.6,0.02,2.02
432,1.79,0.81,1.0,3.74,0.45,3.15,4.18
433,2.42,-0.89,1.0,2.23,-3.22,-0.57,-0.99
434,3.26,1.55,1.0,7.26,-0.22,7.74,7.04
435,0.97,0.31,1.0,0.62,-0.05,1.58,0.57
436,1.68,0.28,1.0,2.56,0.4,3.39,2.95
437,0.81,-0.44,1.0,-0.2,-0.19,-0.11,-0.39
438,2.57,0.86,1.0,3.85,4.44,9.89,8.28
439,2.32,-1.19,1.0,0.01,-2.93,-2.63,-2.92
440,3.21,-0.12,1.0,5.09,-0.46,6.05,4.63
